cluster,rank,ens,symbol,description,is_tf,tf_reason,score,padj,anchor_label
12,8,ENSDARG00000090689,,,False,,8.231508255004883,5.53917795184757e-13,podocyte_PT_transition
12,9,ENSDARG00000058784,,,False,,8.19458293914795,6.279306927070865e-13,podocyte_PT_transition
12,10,ENSDARG00000087390,hbbe1.3,"hemoglobin, beta embryonic 1.3 [Source:NCBI gene (formerly Entrezgene);Acc:573653]",False,,8.18966007232666,6.279306927070865e-13,podocyte_PT_transition
12,11,ENSDARG00000096667,hemgn,,False,,8.130579948425293,9.310003687212197e-13,podocyte_PT_transition
12,12,ENSDARG00000095019,lmo2,LIM domain only 2 (rhombotin-like 1) [Source:NCBI gene (formerly Entrezgene);Acc:30332],False,,8.062004089355469,1.4991956792226924e-12,podocyte_PT_transition
12,13,ENSDARG00000015551,fth1a,"ferritin, heavy polypeptide 1a [Source:NCBI gene (formerly Entrezgene);Acc:58108]",False,,8.048992156982422,1.5392126676288942e-12,podocyte_PT_transition
12,14,ENSDARG00000006818,urod,uroporphyrinogen decarboxylase [Source:NCBI gene (formerly Entrezgene);Acc:30617],False,,7.8819499015808105,4.702895239323654e-12,podocyte_PT_transition
12,15,ENSDARG00000038643,alas2,"aminolevulinate, delta-, synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:64607]",False,,7.881422519683838,4.702895239323654e-12,podocyte_PT_transition
12,16,ENSDARG00000055991,hmbsb,"hydroxymethylbilane synthase, b [Source:NCBI gene (formerly Entrezgene);Acc:338290]",False,,7.876674652099609,4.702895239323654e-12,podocyte_PT_transition
12,17,ENSDARG00000029019,epb41b,erythrocyte membrane protein band 4.1b [Source:NCBI gene (formerly Entrezgene);Acc:326287],False,,7.8710479736328125,4.702895239323654e-12,podocyte_PT_transition
12,18,ENSDARG00000045142,hbae5,"hemoglobin, alpha embryonic 5 [Source:NCBI gene (formerly Entrezgene);Acc:561790]",False,,7.867355823516846,4.702895239323654e-12,podocyte_PT_transition
12,19,ENSDARG00000057206,nmt1b,N-myristoyltransferase 1b [Source:NCBI gene (formerly Entrezgene);Acc:562651],False,,7.858739852905273,4.702895239323654e-12,podocyte_PT_transition
12,20,ENSDARG00000012881,slc4a1a,solute carrier family 4 member 1a (Diego blood group) [Source:NCBI gene (formerly Entrezgene);Acc:84703],False,,7.857333183288574,4.702895239323654e-12,podocyte_PT_transition
12,21,ENSDARG00000030490,sptb,"spectrin, beta, erythrocytic [Source:NCBI gene (formerly Entrezgene);Acc:58040]",False,,7.8448486328125,4.947811370448399e-12,podocyte_PT_transition
12,22,ENSDARG00000013477,gata1a,GATA binding protein 1a [Source:NCBI gene (formerly Entrezgene);Acc:30481],True,family:^gata\d+[a-z]?$,7.830078601837158,5.312236729428797e-12,podocyte_PT_transition
12,23,ENSDARG00000019930,tal1,T-cell acute lymphocytic leukemia 1 [Source:NCBI gene (formerly Entrezgene);Acc:30766],True,family:^tal\d$,7.793329238891602,6.801872810640029e-12,podocyte_PT_transition
12,24,ENSDARG00000008840,hmbsa,hydroxymethylbilane synthase a [Source:NCBI gene (formerly Entrezgene);Acc:394129],False,,7.7862958908081055,6.891593684119867e-12,podocyte_PT_transition
12,25,ENSDARG00000043631,bcas2,BCAS2 pre-mRNA processing factor [Source:NCBI gene (formerly Entrezgene);Acc:493614],False,,7.739172458648682,9.470861677368215e-12,podocyte_PT_transition
12,26,ENSDARG00000025200,,,False,,7.7358317375183105,9.470861677368215e-12,podocyte_PT_transition
12,27,ENSDARG00000061591,abcb10,ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41],False,,7.690290451049805,1.30327003164351e-11,podocyte_PT_transition
12,28,ENSDARG00000038792,klf17,Kruppel like factor 17 [Source:NCBI gene (formerly Entrezgene);Acc:65238],True,desc:kruppel,7.52148962020874,4.636113183236612e-11,podocyte_PT_transition
12,29,ENSDARG00000011166,cahz,carbonic anhydrase [Source:NCBI gene (formerly Entrezgene);Acc:30331],False,,7.478585720062256,6.209600581251422e-11,podocyte_PT_transition
12,30,ENSDARG00000003462,fech,ferrochelatase [Source:NCBI gene (formerly Entrezgene);Acc:58215],False,,7.452914237976074,7.294928616927112e-11,podocyte_PT_transition
13,1,ENSDARG00000013144,atp1b1a,ATPase Na+/K+ transporting subunit beta 1a [Source:NCBI gene (formerly Entrezgene);Acc:64267],False,,24.383281707763672,6.167328741690545e-127,distal_late (60%)
13,2,ENSDARG00000094561,fxyd2,FXYD domain containing ion transport regulator 2 [Source:NCBI gene (formerly Entrezgene);Acc:794522],False,,22.548173904418945,1.6772113920710166e-108,distal_late (60%)
13,3,ENSDARG00000005112,cdh17,"cadherin 17, LI cadherin (liver-intestine) [Source:NCBI gene (formerly Entrezgene);Acc:378452]",False,,22.37187385559082,5.90970814892553e-107,distal_late (60%)
13,4,ENSDARG00000058318,c1qtnf9,C1q and TNF related 9 [Source:NCBI gene (formerly Entrezgene);Acc:799425],False,,22.06401824951172,4.199195475411517e-104,distal_late (60%)
13,5,ENSDARG00000069841,,,False,,21.971277236938477,2.5994093362174926e-103,distal_late (60%)
13,6,ENSDARG00000070083,atp5f1b,ATP synthase F1 subunit beta [Source:NCBI gene (formerly Entrezgene);Acc:554135],False,,21.89288902282715,1.2130558288925192e-102,distal_late (60%)
13,7,ENSDARG00000009447,atp5mc3b,ATP synthase membrane subunit c locus 3b [Source:NCBI gene (formerly Entrezgene);Acc:81541],False,,21.785505294799805,1.0903243013607101e-101,distal_late (60%)
13,8,ENSDARG00000019644,ldhba,lactate dehydrogenase Ba [Source:NCBI gene (formerly Entrezgene);Acc:30497],False,,21.662084579467773,1.4010160497945532e-100,distal_late (60%)
13,9,ENSDARG00000013623,vdac2,voltage-dependent anion channel 2 [Source:NCBI gene (formerly Entrezgene);Acc:322126],False,,21.60478973388672,4.3125475697453476e-100,distal_late (60%)
13,10,ENSDARG00000010149,atp5fa1,ATP synthase F1 subunit alpha [Source:NCBI gene (formerly Entrezgene);Acc:553755],False,,21.39286994934082,3.7316233639686574e-98,distal_late (60%)
13,11,ENSDARG00000022560,clcnk,chloride channel K [Source:NCBI gene (formerly Entrezgene);Acc:393353],False,,21.181995391845703,3.050151499229697e-96,distal_late (60%)
13,12,ENSDARG00000067829,ppargc1a,PPARG coactivator 1 alpha [Source:HGNC Symbol;Acc:HGNC:9237],False,,21.02359390258789,7.97093464150655e-95,distal_late (60%)
13,13,ENSDARG00000017772,mdh1aa,"malate dehydrogenase 1Aa, NAD (soluble) [Source:NCBI gene (formerly Entrezgene);Acc:399662]",False,,20.82300567626953,4.938753449264953e-93,distal_late (60%)
13,14,ENSDARG00000015978,cox5ba,cytochrome c oxidase subunit 5Ba [Source:NCBI gene (formerly Entrezgene);Acc:415253],False,,20.795751571655273,8.096399690033386e-93,distal_late (60%)
13,15,ENSDARG00000056008,atp5mc1,ATP synthase membrane subunit c locus 1 [Source:NCBI gene (formerly Entrezgene);Acc:406301],False,,20.73479652404785,2.6872465118923498e-92,distal_late (60%)
13,16,ENSDARG00000003219,bin2a,bridging integrator 2a [Source:NCBI gene (formerly Entrezgene);Acc:492780],False,,20.53571891784668,1.5471859615124105e-90,distal_late (60%)
